ResourceAgencyNum,PublicName,AlternateName,OfficialName,TaxonomyLevelName,ParentAgency,ParentAgencyNum,UniqueIDPriorSystem,MailingAddress1,MailingAddress2,MailingCity,MailingStateProvince,MailingPostalCode,MailingCountry,MailingAddressIsPrivate,PhysicalAddress1,PhysicalAddress2,PhysicalCity,PhysicalCounty,PhysicalStateProvince,PhysicalPostalCode,PhysicalCountry,PhysicalAddressIsPrivate,Latitude,Longitude,HoursOfOperation,Phone1Number,Phone1Name,Phone1Description,Phone1IsPrivate,Phone2Number,Phone2Name,Phone2Description,Phone2IsPrivate,Phone3Number,Phone3Name,Phone3Description,Phone3IsPrivate,Phone4Number,Phone4Name,Phone4Description,Phone4IsPrivate,Phone5Number,Phone5name,Phone5Description,Phone5IsPrivate,PhoneFax,PhoneFaxDescription,PhoneFaxIsPrivate,PhoneTTY,PhoneTTYDescription,PhoneTTYIsPrivate,PhoneTollFree,PhoneTollFreeDescription,PhoneTollFreeIsPrivate,PhoneNumberHotline,PhoneNumberHotlineDescription,PhoneNumberHotlineIsPrivate,PhoneNumberBusinessLine,PhoneNumberBusinessLineDescription,PhoneNumberBusinessLineIsPrivate,PhoneNumberOutOfArea,PhoneNumberOutOfAreaDescription,PhoneNumberOutOfAreaIsPrivate,PhoneNumberAfterHours,PhoneNumberAfterHoursDescription,PhoneNumberAfterHoursIsPrivate,EmailAddressMain,WebsiteAddress,AgencyStatus,AgencyDescription,SearchHints,CoverageArea,CoverageAreaText,Eligibility,EligibilityAdult,EligibilityChild,EligibilityFamily,EligibilityFemale,EligibilityMale,EligibilityTeen,SeniorWorkerName,SeniorWorkerTitle,SeniorWorkerEmailAddress,SeniorWorkerPhoneNumber,SeniorWorkerIsPrivate,MainContactName,MainContactTitle,MainContactEmailAddress,MainContactPhoneNumber,MainContactType,MainContactIsPrivate,LicenseAccreditation,IRSStatus,FEIN,YearIncorporated,AnnualBudgetTotal,LegalStatus,SourceOfFunds,ExcludeFromWebsite,ExcludeFromDirectory,DisabilitiesAccess,PhysicalLocationDescription,BusServiceAccess,PublicAccessTransportation,PaymentMethods,FeeStructureSource,ApplicationProcess,ResourceInfo,DocumentsRequired,LanguagesOffered,LanguagesOfferedList,AvailabilityNumberOfTimes,AvailabilityFrequency,AvailabilityPeriod,ServiceNotAlwaysAvailability,CapacityType,ServiceCapacity,NormalWaitTime,EnteredOn,UpdatedOn,MadeInactiveOn,HighlightedResource,ConnectsToSiteNum,ConnectsToProgramNum,LanguageOfRecord,IsLinkOnly,ProgramAgencyNamePublic,SiteAgencyNamePublic,Categories,TaxonomyTerm,TaxonomyTerms,TaxonomyTermsNotDeactivated,TaxonomyCodes,Coverage,Hours,Custom_Are services provided to LGBTQ persons?,Custom_Automated Status,Custom_Batch ID,Custom_Does your program offer a harm reduction approach to service?,Custom_Eligibility by Age,Custom_Eligibility by Gender,Custom_In what language would you prefer to receive correspondence from Kids Help Phone?,Custom_Is this a bilingual service?,Custom_Manual Status,Custom_Please share your anonymity and confidentiality policy in regards to serving clients (please consider caller id age of consent client records application parental permission etc in your description):,Custom_Please suggest keywords that would be helpful when searching for this service:,Custom_Record Type,Custom_Source Database
51490342,Ontario Aboriginal HIV/AIDS Strategy - HIV/AIDS Outreach & Prevention Counselling at Ontario Aboriginal HIV/AIDS Strategy - Kingston,Oahas - HIV/AIDS Outreach & Prevention Counselling - Kingston,,ProgramAtSite,Ontario Aboriginal HIV/AIDS Strategy,12379208,,,,,,,Canada,No,844 Princess Street,Unit A,Kingston,Lennox And Addington,ON,K7L 1G5,Canada,No,44.2398491,-76.5089283,Some evening and weekends ,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,613-545-9809 ,,FALSE,,,FALSE,,,FALSE,,,FALSE,613-549-7540 ,,FALSE,,,FALSE,,,FALSE,info@oahas.org,http://www.oahas.org/contact-us/#eastern  ,Active,"Offers preventative counselling, pre and post-testing counselling, education, information and referrals to treatment for aboriginal people (who live off reserve) who have or are concerned about HIV/AIDS. Also provides services to the families, partners and caregivers' of those who have HIV/AIDS.  ",Previous ID: 22399 12409482 51490342,,,Open to all,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Shelly Vanderhoef,Program Manager,programmanager@oahas.org,1-800-743-8851 ,No,Melissa Maracle,Regional Outreach and Support Services ,melissam@oahas.org,613-549-7540,,No,,None or unknown,,,,None or unknown,,No,No,Wheelchair Accessible,Princess Street and Concession Street ,Kingston Transit,,,Free,"Appointment Required, e-mail or visit website for more information",,Documents not specified - inquire for more information,,English,,,,,,,,14/08/2017 15:34,31/10/2017 9:20,,FALSE,51489838,12409482,en,FALSE,Ontario Aboriginal HIV/AIDS Strategy - HIV/AIDS Outreach & Prevention Counselling,Ontario Aboriginal HIV/AIDS Strategy - Kingston,,Safer Sex Education; ,Health Care - Human Reproduction - Sexuality/Reproductive Health Education - Safer Sex Education * Indigenous Communities,Safer Sex Education * Indigenous Communities,LJ-8000.8000 * YH-6000.3280,ON - Frontenac County - Kingston; ON - Hastings County; ON - Lanark County; ON - Leeds And Grenville County; ON - Lennox And Addington County; ON - Peterborough County; ON - Prince Edward County; ,Mon 8:30am - 3:30pm; Tue 8:30am - 3:30pm; Wed 8:30am - 3:30pm; Thu 8:30am - 3:30pm; Fri 8:30am - 3:30pm; ,,,,,,,,,,,,MCYS; RAM,
51490344,Ontario Aboriginal HIV/AIDS Strategy - HIV/AIDS Outreach & Prevention Counselling at Ontario Aboriginal HIV/AIDS Strategy - Sudbury,Oahas - HIV/AIDS Outreach & Prevention Counselling - Sudbury,,ProgramAtSite,Ontario Aboriginal HIV/AIDS Strategy,12379208,,,,,,,Canada,No,96 Larch Street,Suite 401,Sudbury,Sudbury,ON,P3E 1B9,Canada,No,46.4915686,-80.9940544,Call for hours,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,1-705-674-9714,,FALSE,,,FALSE,,,FALSE,,,FALSE,1-705-674-9449,,FALSE,,,FALSE,,,FALSE,info@oahas.org,http://www.oahas.org,Active,"Offers preventative counselling, pre and post-testing counselling, education, information and referrals to treatment for aboriginal people (who live off reserve) who have or are concerned about HIV/AIDS. Also provides services to the families, partners and caregivers' of those who have HIV/AIDS.  ",Previous ID: 22399 12409482 51490344,,,Open to all,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,No,Heather Chierici,Regional Outreach/Support Services,heatherc@oahas.org,1-705-674-9449,,No,,None or unknown,,,,None or unknown,,No,No,Unknown,,,,,Free,Application Process unknown - please inquire for more information,,Documents not specified - inquire for more information,,English,,,,,,,,14/08/2017 15:35,31/10/2017 9:30,,FALSE,51449940,12409482,en,FALSE,Ontario Aboriginal HIV/AIDS Strategy - HIV/AIDS Outreach & Prevention Counselling,Ontario Aboriginal HIV/AIDS Strategy - Sudbury,,Safer Sex Education; ,Health Care - Human Reproduction - Sexuality/Reproductive Health Education - Safer Sex Education * Indigenous Communities,Safer Sex Education * Indigenous Communities,LJ-8000.8000 * YH-6000.3280,ON - Sudbury County; ,,,,,,,,,,,,,MCYS; RAM,
51490345,Ontario Aboriginal HIV/AIDS Strategy - HIV/AIDS Outreach & Prevention Counselling at Ontario Aboriginal HIV/AIDS Strategy - Thunder Bay,Oahas - HIV/AIDS Outreach & Prevention Counselling - Thunder Bay,,ProgramAtSite,Ontario Aboriginal HIV/AIDS Strategy,12379208,,,,,,,Canada,No,516 Victoria Avenue East,Unit 3,Thunder Bay,Thunder Bay,ON,P7C 1A7,Canada,No,48.3839599,-89.246268,Call for hours,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,1-807-623-5557,,FALSE,,,FALSE,,,FALSE,,,FALSE,1-807-623-2600,,FALSE,,,FALSE,,,FALSE,info@oahas.org,http://www.oahas.org,Active,"Offers preventative counselling, pre and post-testing counselling, education, information and referrals to treatment for aboriginal people (who live off reserve) who have or are concerned about HIV/AIDS. Also provides services to the families, partners and caregivers' of those who have HIV/AIDS.  ",Previous ID: 22399 12409482 51490345,,,Open to all,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,No,Collin Graham,Regional Outreach/Support Services,colling@oahas.org,1-807-623-2600,,No,,None or unknown,,,,None or unknown,,No,No,Unknown,,,,,Free,Application Process unknown - please inquire for more information,,Documents not specified - inquire for more information,,English,,,,,,,,14/08/2017 15:35,31/10/2017 9:33,,FALSE,51449981,12409482,en,FALSE,Ontario Aboriginal HIV/AIDS Strategy - HIV/AIDS Outreach & Prevention Counselling,Ontario Aboriginal HIV/AIDS Strategy - Thunder Bay,,Safer Sex Education; ,Health Care - Human Reproduction - Sexuality/Reproductive Health Education - Safer Sex Education * Indigenous Communities,Safer Sex Education * Indigenous Communities,LJ-8000.8000 * YH-6000.3280,ON - Thunder Bay County; ,,,,,,,,,,,,,MCYS; RAM,
51490393,Ontario Aboriginal HIV/AIDS Strategy - HIV/AIDS Outreach & Prevention Counselling at Ontario Aboriginal HIV/AIDS Strategy - Toronto,Oahas - HIV/AIDS Outreach & Prevention Counselling - Toronto,,ProgramAtSite,Ontario Aboriginal HIV/AIDS Strategy,12379208,,,,,,,Canada,No,7 Hayden Street,Suite 201,Toronto,Toronto,ON,M4Y 2P2,Canada,No,43.6697308,-79.3841276,,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,1-416-944-0541,,FALSE,,,FALSE,,,FALSE,,,FALSE,1-416-944-9481 ext 226,,FALSE,,,FALSE,,,FALSE,info@oahas.org,http://www.oahas.org,Active,"Offers preventative counselling, pre and post-testing counselling, education, information and referrals to treatment for aboriginal people (who live off reserve) who have or are concerned about HIV/AIDS. Also provides services to the families, partners and caregivers' of those who have HIV/AIDS. They also advocate for indigenous Canadians with HIV/AIDS.",Previous ID: 22399 12409482 51490393,,,Open to all,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Tony Nobis,Executive Director,tonyn@oahas.org,416-944-9481 ext 226,No,,,,,,Yes,,None or unknown,,,,None or unknown,,No,No,Not Wheelchair Accessible,Yonge Street and Bloor Street East,,,,Free,Self Referral and visit website,,Documents not specified - inquire for more information,,English,,,,,,,,14/08/2017 16:49,31/10/2017 9:41,,FALSE,12634794,12409482,en,FALSE,Ontario Aboriginal HIV/AIDS Strategy - HIV/AIDS Outreach & Prevention Counselling,Ontario Aboriginal HIV/AIDS Strategy - Toronto,,Safer Sex Education; ,Health Care - Human Reproduction - Sexuality/Reproductive Health Education - Safer Sex Education * Indigenous Communities,Safer Sex Education * Indigenous Communities,LJ-8000.8000 * YH-6000.3280,ON - Toronto County; ,Mon 9:00am - 5:00pm; Tue 9:00am - 5:00pm; Wed 9:00am - 5:00pm; Thu 9:00am - 5:00pm; Fri 9:00am - 5:00pm; ,,,,,,,,,,,,MCYS; RAM,
51011332,Sudbury and District Health Unit - Sexual Health Services at Sudbury and District Health Unit - Rainbow Centre,Sudbury and District Health Unit - Sexual Health - Rainbow Centre,,ProgramAtSite,Sudbury and District Health Unit,12380880,,,,Sudbury,,,Canada,No,10 Elm Street,Unite 130,Sudbury,Sudbury,ON,P3C 1S8,Canada,No,46.4932863,-80.9917901,Drop in hours are 8:30am - 3:30pm Monday and Friday,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,705-677-9611,,FALSE,,,FALSE,1-866-522-9200 ,,FALSE,,,FALSE,705-522-9200,,FALSE,,,FALSE,,,FALSE,communications@sdhu.com,https://www.sdhu.com/clinics-classes-events/sexual-health-clinic,Active,"Offers sexual health services, including: Sexual health information, testing and free treatment of sexually transmitted infections, anonymous HIV testing, emergency contraception (morning after pill), birth control counselling, low-cost birth control, pregnancy testing and options counselling, free condoms, sexual health information and counselling (in person or by phone), harm reduction services, free hepatitis A and B immunization (for those who qualify) and presentations by request to high risk groups.",Previous ID: 24061 12411144 51011332,Sudbury and area ,,Open to all,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,No,,,,,,No,,None or unknown,,,,None or unknown,,No,No,Wheelchair Accessible,Elm Street and Notre Dame Avenue,,,,Cost for Service - inquire for more information,Appointment Required,,Health Card,,"English, French",,,,,,,,24/07/2017 12:11,16/11/2017 14:01,,FALSE,12638117,12411144,en,FALSE,Sudbury and District Health Unit - Sexual Health Services,Sudbury and District Health Unit - Rainbow Centre,,Sexual Health Centres; ,Health Care - Outpatient Health Facilities - Sexual Health Centres,Sexual Health Centres,LN-7800,ON - Sudbury County; ,Mon 8:30am - 4:30pm; Tue 8:30am - 4:30pm; Wed 8:30am - 4:30pm; Thu 8:30am - 4:30pm; Fri 8:30am - 4:30pm; ,,,,,,,,,,,,MCYS; RAM,
50465107,Oxford County Health Services - Sexual Health Clinic at Oxford County Health Services - Tillsonburg,Oxford County Health Services - Sexual Health Clinic - Tillsonburg,,ProgramAtSite,Oxford County Health Services,12371942,,,,Woodstock,,,Canada,No,167 Rolph Street,Lower Level,Tillsonburg,Oxford,ON,N4G 3Y9   ,Canada,No,42.863122,-80.734751,Every second and fourth Tuesday of the month. ,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,519-539-6206,,FALSE,,,FALSE,1-800-755-0394 ext 3490,,FALSE,,,FALSE,519-539-4431,,FALSE,,,FALSE,,,FALSE,publichealth@oxfordcounty.ca,http://www.oxfordcounty.ca/Sexual-health,Active,"Sexual Health clinic providing: emergency contraception, STI Testing and Treatment, HIV counselling and testing, Hepatitis B vaccination, birth control, treatment for genital warts, cervical screenings/pap tests, Hepatitis B and C testing, pregnancy options counselling, pregnancy testing and needle exchange.",Previous ID: 11634 12398717 50465107,,,Individuals 16 and older,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,Yes,,,,,,Yes,,None or unknown,,,,None or unknown,,No,No,Wheelchair Accessible,,,,,Cost for Service - inquire for more information,Appointment Required,,Health Card,,English,,,,,,,,2017-06-07 12:45,2017-12-10 11:53,,FALSE,15754578,12398717,en,FALSE,Oxford County Health Services - Sexual Health Clinic,Oxford County Health Services - Tillsonburg,,Sexual Health Centres; ,Health Care - Outpatient Health Facilities - Sexual Health Centres,Sexual Health Centres,LN-7800,ON - Oxford County; ,Tue 2:00pm - 4:00pm; ,,,,,16; 17; 18; 19; 20; 21; 22; 23; 24; 25; >25,,,,,,,MCYS; RAM,
51026762,Parkdale - Queen West Community Health Centre - Sexual Health Services at Parkdale - Queen West Community Health Centre - Parkdale Site,Parkdale - Queen West Community Health Centre - Sexual Health Services - Parkdale,,ProgramAtSite,Parkdale - Queen West Community Health Centre,12372240,,,,,,,Canada,No,1229 Queen Street West,,Toronto,Toronto,ON,M6K 1L2,Canada,No,43.6418243,-79.4294664,,416-537-3526,Fax,Clinical Fax,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,416-537-5133,,FALSE,,,FALSE,,,FALSE,,,FALSE,416-537-2455,,FALSE,,,FALSE,,,FALSE,info@pchc.on.ca,http://www.pchc.on.ca/programs-services/health-services/anonymous-hiv-testing.html,Active,"Offers anonymous HIV screening, and pre- and post-test counselling. Also provides safer sex materials (condoms, lube), and safer sex information.",Previous ID: 12455 12399538 51026762,,,"Open to residents of the catchment area.<br />Catchment area: Bloor Street West to Lake Ontario, Parkside Drive to Dovercourt Road",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,No,,,,,,No,,None or unknown,,,,,,No,No,Wheelchair Accessible,,,,,Free,Appointment Required,,Documents not specified - inquire for more information,,"English, Portuguese, Spanish, Tamil",,,,,,,,25/07/2017 11:29,19/10/2017 11:11,,FALSE,51026655,12399538,en,FALSE,Parkdale - Queen West Community Health Centre - Sexual Health Services,Parkdale - Queen West Community Health Centre - Parkdale Site,,Safer Sex Education; Contraception; Sexually Transmitted Disease Screening; ,Health Care - Human Reproduction - Sexuality/Reproductive Health Education - Safer Sex Education; Health Care - Human Reproduction - Family Planning - Birth Control - Contraception; Health Care - Health Screening/Diagnostic Services - Disease/Disability Specific Screening/Diagnosis - Sexually Transmitted Disease Screening,Safer Sex Education; Contraception; Sexually Transmitted Disease Screening,LJ-8000.8000; LJ-2000.1000-150; LF-4900.8000,ON - Toronto County - Toronto; ,Fri 8:00am - 4:00pm; ,,,,,,,,,,,,MCYS; RAM,
51026763,Parkdale - Queen West Community Health Centre - Sexual Health Services at Parkdale - Queen West Community Health Centre - Queen West Site,Parkdale - Queen West Community Health Centre - Sexual Health Services - Queen West,,ProgramAtSite,Parkdale - Queen West Community Health Centre,12372240,,,,,,,Canada,No,168 Bathurst Street,,Toronto,Toronto,ON,M5V 2R4,Canada,No,43.6466143,-79.4042206,,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,416-703-7832,,FALSE,,,FALSE,,,FALSE,,,FALSE,416-703-8482 ext 100,,FALSE,,,FALSE,,,FALSE,info@ctchc.com,http://ctchc.org/programs-services/health-dental/hiv-screening-test-anonymous-rapid-point-of-care/,Active,"Offers anonymous HIV screening, and pre- and post-test counselling. Also provides safer sex materials (condoms, lube), and safer sex information.",Previous ID: 12455 12399538 51026763,,,"Open to residents of the catchment area. No catchment area restrictions for homeless or underhoused people. <br />Catchment area: College Street to Lake Ontario, Dovercourt Road to Yonge Street. Medical services without Ontario Health Insurance, Dupont Street to Lake Ontario, Dovercourt Road to Yonge Street",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Angela Robertson,Executive Director,arobertson@ctchc.com,416-703-8482 ext 321,No,,,,,,No,,None or unknown,,,,,,No,No,Wheelchair Accessible,,,,,Free,Drop-in or appointment,,Documents not specified - inquire for more information,,"Cantonese, English, Mandarin, Portuguese, Spanish",,,,,,,,25/07/2017 11:29,2017-10-10 12:11,,FALSE,12385905,12399538,en,FALSE,Parkdale - Queen West Community Health Centre - Sexual Health Services,Parkdale - Queen West Community Health Centre - Queen West Site,,Safer Sex Education; Sexually Transmitted Disease Screening; Contraception; ,Health Care - Human Reproduction - Sexuality/Reproductive Health Education - Safer Sex Education; Health Care - Health Screening/Diagnostic Services - Disease/Disability Specific Screening/Diagnosis - Sexually Transmitted Disease Screening; Health Care - Human Reproduction - Family Planning - Birth Control - Contraception,Safer Sex Education; Sexually Transmitted Disease Screening; Contraception,LJ-8000.8000; LF-4900.8000; LJ-2000.1000-150,ON - Toronto County - Toronto; ,Tue 1:30pm - 4:30pm; Fri 9:30am - 12:00pm; ,,,,,,,,,,,,MCYS; RAM,
51027079,Parkdale - Queen West Community Health Centre - Counselling Services at Parkdale - Queen West Community Health Centre - Parkdale Site,Parkdale - Queen West Community Health Centre - Counselling Services - Parkdale,,ProgramAtSite,Parkdale - Queen West Community Health Centre,12372240,,168 Bathurst Street,,Toronto,,M5V 2R4,Canada,No,1229 Queen Street West,,Toronto,Toronto,ON,M6K 1L2,Canada,No,43.6418243,-79.4294664,,416-537-3526,Fax,Clinical fax,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,416-537-5133,,FALSE,,,FALSE,,,FALSE,,,FALSE,416-537-2455,,FALSE,,,FALSE,,,FALSE,info@pchc.on.ca,https://pqwchc.org/programs-services/counselling-and-case-management/,Active,"Offers individual and group counselling for a range of needs, including: feelings of depression and anxiety, coping with illness, trauma or abuse, grief and loss, harm reduction for substance use and other addictions, parenting, family or relationship difficulties. Counselling also available for women with post-partum mood disorders, women with experiences of abuse or assault, and couples counselling. ",Previous ID: 12458 12399541 51027079,Parkdale/Roncesvalles area of Toronto,,"Open to residents of the catchment area.<br />Catchment area: Bloor Street West to Lake Ontario, Parkside Drive to Dovercourt Road.  There is no catchment area for women with post-partum mood disorders or women with experiences of abuse or assault.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,No,,,,,,No,,None or unknown,,,,None or unknown,,No,No,Wheelchair Accessible,Women's counselling services may be offered at a satellite location,,,,Free,Self Referral,,Documents not specified - inquire for more information,Interpretive services available as needed,"English, Polish, Portuguese, Russian, Spanish, Tamil",,,,,,,1-3 weeks,25/07/2017 14:05,19/12/2018 11:48,,FALSE,51026655,12399541,en,FALSE,Parkdale - Queen West Community Health Centre - Counselling Services,Parkdale - Queen West Community Health Centre - Parkdale Site,,Group Counselling; Individual Counselling; Community Mental Health Agencies; Grief and Loss Counselling; Substance Use Disorder Counselling; ,Mental Health and Substance Use Disorder Services - Counseling Settings - Group Counselling; Mental Health and Substance Use Disorder Services - Counseling Settings - Individual Counselling; Mental Health and Substance Use Disorder Services - Mental Health Care Facilities - Outpatient Mental Health Facilities - Community Mental Health Agencies; Mental Health and Substance Use Disorder Services - Mental Health Assessment and Treatment - Counseling Services - Specialized Counseling Services - Grief and Loss Counselling; Mental Health and Substance Use Disorder Services - Substance Use Disorder Services - Substance Use Disorder Treatment Programs - Substance Use Disorder Counselling,Group Counselling; Individual Counselling; Community Mental Health Agencies; Grief and Loss Counselling; Substance Use Disorder Counselling,RF-2500; RF-3300; RM-6500.1500; RP-1400.8000-100; RX-8450.8000,ON - Toronto County - Toronto; ,Mon 8:00am - 4:00pm; Tue 8:00am - 4:00pm; Wed 8:00am - 4:00pm; Thu 8:00am - 4:00pm; Fri 8:00am - 4:00pm; ,,,,,16; 17; 18; 19; 20; 21; 22; 23; 24; 25; >25,,,,,,,MCYS; RAM,
51027081,Parkdale - Queen West Community Health Centre - Counselling Services at Parkdale - Queen West Community Health Centre - Queen West Site,Parkdale - Queen West Community Health Centre - Counselling Services - Queen West,,ProgramAtSite,Parkdale - Queen West Community Health Centre,12372240,,168 Bathurst Street,,Toronto,,M5V 2R4,Canada,No,168 Bathurst Street,,Toronto,Toronto,ON,M5V 2R4,Canada,No,43.6466143,-79.4042206,Some evening appointments available 5:00pm-7:30pm,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,416-703-7832,,FALSE,,,FALSE,,,FALSE,,,FALSE,416-703-8482 ext 106,,FALSE,,,FALSE,,,FALSE,info@ctchc.com,http://ctchc.org/programs-services/counselling/counselling-and-counselling-groups/,Active,"Offers individual and group counselling for a range of needs, including: feelings of depression and anxiety, coping with illness, trauma or abuse, grief and loss, harm reduction for substance use and other addictions, parenting, family or relationship difficulties",Previous ID: 12458 12399541 51027081,,,"Open to residents of the catchment area. No catchment area restrictions for homeless or underhoused people. <br />Catchment area: College Street to Lake Ontario, Dovercourt Road to Yonge Street. Medical services without Ontario Health Insurance, Dupont Street to Lake Ontario, Dovercourt Road to Yonge Street",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Angela Robertson,Executive Director,arobertson@ctchc.com,416-703-8482 ext 321,No,,,,,,No,,None or unknown,,,,None or unknown,,No,No,Wheelchair Accessible,,,,,Free,Self Referral,,Documents not specified - inquire for more information,,"Cantonese, English, Mandarin, Portuguese, Spanish",,,,,,,,25/07/2017 14:05,19/12/2018 11:50,,FALSE,12385905,12399541,en,FALSE,Parkdale - Queen West Community Health Centre - Counselling Services,Parkdale - Queen West Community Health Centre - Queen West Site,,Individual Counselling; Group Counselling; Community Mental Health Agencies; Grief and Loss Counselling; Substance Use Disorder Counselling; ,Mental Health and Substance Use Disorder Services - Counseling Settings - Individual Counselling; Mental Health and Substance Use Disorder Services - Counseling Settings - Group Counselling; Mental Health and Substance Use Disorder Services - Mental Health Care Facilities - Outpatient Mental Health Facilities - Community Mental Health Agencies; Mental Health and Substance Use Disorder Services - Mental Health Assessment and Treatment - Counseling Services - Specialized Counseling Services - Grief and Loss Counselling; Mental Health and Substance Use Disorder Services - Substance Use Disorder Services - Substance Use Disorder Treatment Programs - Substance Use Disorder Counselling,Individual Counselling; Group Counselling; Community Mental Health Agencies; Grief and Loss Counselling; Substance Use Disorder Counselling,RF-3300; RF-2500; RM-6500.1500; RP-1400.8000-100; RX-8450.8000,ON - Toronto County - Toronto; ,Mon 9:30am - 5:00pm; Tue 9:30am - 5:00pm; Wed 9:30am - 5:00pm; Thu 9:30am - 5:00pm; Fri 9:30am - 5:00pm; ,,,,,16; 17; 18; 19; 20; 21; 22; 23; 24; 25; >25,,,,,,,MCYS; RAM,
51027125,North Bay Parry Sound District Health Unit - Sexual Health at North Bay Parry Sound District Health Unit - Burk's Falls,North Bay Parry Sound District Health Unit - Sexual Health - Burk's Falls,,ProgramAtSite,North Bay Parry Sound District Health Unit,12379030,,,,,,,Canada,No,17 Coppeland Street,,Burks Falls,Parry Sound,ON,P0A 1C0,Canada,No,45.6194779,-79.4072556,Clinic hours vary; call for exact dates and times ,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,705-382-2931 ,,FALSE,,,FALSE,1-800-563-2808 ,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,contact@nbpsdhu.ca,http://www.myhealthunit.ca/en/clinicsclassesandevents/sexualhealthclinics.asp,Active,"Sexual health clinic that offers free condoms, low cost birth control, pregnancy testing, pregnancy counselling, pap testing, emergency contraceptive pill, sexually transmitted disease testing and treatment, HIV testing, and abstinence, sexuality and safer sex counselling.",51026767 51027125,Burks Falls and area,,Open to all,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,No,,,,,,No,,None or unknown,,,,None or unknown,,No,No,Wheelchair Accessible,Coppeland Street and High Street,,,,"free, low-cost contraception",Appointment Required,,No Documentation Required,,English,,,,,,,,25/07/2017 14:12,2017-04-12 8:46,,FALSE,51026779,51026767,en,FALSE,North Bay Parry Sound District Health Unit - Sexual Health,North Bay Parry Sound District Health Unit - Burk's Falls,,Sexual Health Centres; ,Health Care - Outpatient Health Facilities - Sexual Health Centres,Sexual Health Centres,LN-7800,ON - Parry Sound County - Burks Falls; ,,,,,,,,,,,,,MCYS; RAM,
51027126,North Bay Parry Sound District Health Unit - Sexual Health at North Bay Parry Sound District Health Unit - Mattawa,North Bay Parry Sound District Health Unit - Sexual Health - Mattawa,,ProgramAtSite,North Bay Parry Sound District Health Unit,12379030,,,,,,,Canada,No,150 Water Street,,Mattawa,Nipissing,ON,P0H 1V0,Canada,No,46.320049,-78.7055557,Call for exact dates and times ,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,FALSE,,,FALSE,1-800-563-2808 Ext 2289 ,,FALSE,,,FALSE,705-474-1400 ext 2289 ,,FALSE,,,FALSE,,,FALSE,clinic@nbpsdhu.ca,http://www.myhealthunit.ca/en/clinicsclassesandevents/sexualhealthclinics.asp,Active,"Sexual health clinic that offers free condoms, low cost birth control, pregnancy testing, pregnancy counselling, pap testing, emergency contraceptive pill, sexually transmitted disease testing and treatment, HIV testing, and abstinence, sexuality and safer sex counselling.",51026767 51027126,,,Open to all,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,No,,,,,,No,,None or unknown,,,,None or unknown,,No,No,Unknown,Water Street and Timmins Street ,,,,"free, low-cost contraception",Appointment Required,,No Documentation Required,,"English, French",,,,,,,,25/07/2017 14:12,18/10/2017 10:02,,FALSE,12634450,51026767,en,FALSE,North Bay Parry Sound District Health Unit - Sexual Health,North Bay Parry Sound District Health Unit - Mattawa,,Sexual Health Centres; ,Health Care - Outpatient Health Facilities - Sexual Health Centres,Sexual Health Centres,LN-7800,ON - Nipissing County - Mattawa; ON - Nipissing County - Mattawa - P0H 1V0; ,,,,,,,,,,,,,MCYS; RAM,
